pair_name,pair_tags,win_rate,games
Amumu Diana,FighterTank,0.2222222222222222,9.0
Amumu Dr. Mundo,FighterTank,1.0,3.0
Amumu Draven,MarksmanTank,0.2857142857142857,7.0
Amumu Ekko,AssassinTank,0.45454545454545453,11.0
Amumu Elise,MageTank,0.5,2.0
Amumu Ezreal,MarksmanTank,0.38095238095238093,63.0
Amumu Fiora,FighterTank,0.25,12.0
Amumu Fizz,AssassinTank,0.3333333333333333,6.0
Amumu Gangplank,FighterTank,0.5714285714285714,7.0
Amumu Garen,FighterTank,0.34210526315789475,38.0
Amumu Gnar,FighterTank,0.0,2.0
Amumu Gragas,FighterTank,0.5,2.0
Amumu Graves,MarksmanTank,0.4,5.0
Amumu Hecarim,FighterTank,0.5,2.0
Amumu Heimerdinger,MageTank,0.3,10.0
Amumu Illaoi,FighterTank,0.6666666666666666,3.0
Amumu Irelia,FighterTank,0.25925925925925924,27.0
Amumu Janna,SupportTank,0.2,10.0
Amumu Jayce,FighterTank,0.46153846153846156,13.0
Amumu Jhin,MarksmanTank,0.0,4.0
Amumu Jinx,MarksmanTank,0.38461538461538464,13.0
Amumu Kai'Sa,MarksmanTank,0.4090909090909091,44.0
Amumu Kalista,MarksmanTank,0.1,10.0
Amumu Karma,MageTank,0.5714285714285714,7.0
Amumu Kassadin,AssassinTank,0.5,8.0
Amumu Katarina,AssassinTank,0.4583333333333333,24.0
Amumu Kayn,FighterTank,1.0,1.0
Amumu Kennen,MageTank,0.5,6.0
Amumu Kha'Zix,AssassinTank,0.0,1.0
Amumu Kindred,MarksmanTank,0.0,1.0
Amumu Kled,FighterTank,0.625,16.0
Amumu Kog'Maw,MarksmanTank,0.0,2.0
Amumu Lee Sin,FighterTank,0.0,2.0
Amumu Leona,TankTank,0.3181818181818182,22.0
Amumu Lissandra,MageTank,0.0,1.0
Amumu Lucian,MarksmanTank,0.425531914893617,47.0
Amumu Lulu,SupportTank,0.4444444444444444,9.0
Amumu Lux,MageTank,0.36363636363636365,11.0
Amumu Malphite,TankTank,0.8333333333333334,6.0
Amumu Malzahar,MageTank,0.6666666666666666,3.0
Amumu Maokai,TankTank,0.5,8.0
Amumu Mordekaiser,FighterTank,0.125,16.0
Amumu Nami,SupportTank,0.75,4.0
Amumu Nasus,FighterTank,0.5,2.0
Amumu Nautilus,TankTank,0.3333333333333333,24.0
Amumu Neeko,MageTank,0.5714285714285714,7.0
Amumu Nidalee,AssassinTank,0.0,1.0
Amumu Nocturne,AssassinTank,0.1,10.0
Amumu Orianna,MageTank,0.0,2.0
